Prob_Default,Risk_Level
0.051099551811695045,Low
0.010191094131084967,Low
0.034927470874123255,Low
0.08899182803286389,Low
0.016131596826460294,Low
0.03189502144773246,Low
0.01732190116733863,Low
0.19097539445246087,Low
0.09982464002973748,Low
0.022131944573936586,Low
0.06093303307658326,Low
0.02122091603152174,Low
0.17631297500489923,Low
0.010069543993240318,Low
0.06878206898282603,Low
0.0261441522701508,Low
0.48317313743082385,Medium
0.060337758093426536,Low
0.028866645699006304,Low
0.01961731011589056,Low
0.04296033592906781,Low
0.025458955191425263,Low
0.015744977663667028,Low
0.012153625580189833,Low
0.03218748870827207,Low
0.04136074212174714,Low
0.03600090696914481,Low
0.01312294244518894,Low
0.012915375185778967,Low
0.014133063836450046,Low
0.02129246770312581,Low
0.011663110835024922,Low
0.03539411694217408,Low
0.017444343878524303,Low
0.1153908414117906,Low
0.12888943975383238,Low
0.034794953655253286,Low
0.06047992549252696,Low
0.03475454348867241,Low
0.032936956816528626,Low
0.019765869575254138,Low
0.03179205540998582,Low
0.02439287151410201,Low
0.1489771601371202,Low
0.10788973786375793,Low
0.019286622658422764,Low
0.020172931480035253,Low
0.01774077326881992,Low
0.017487513091241705,Low
0.02171668034370057,Low
0.0197272447101913,Low
0.020646759631811343,Low
0.2282473542154975,Low
0.03576840569193452,Low
0.023407973991455458,Low
0.04817189884852219,Low
0.02591532477005124,Low
0.14899121066759066,Low
0.2054099447254165,Low
0.0378266922125064,Low
0.05347115596799985,Low
0.2002574090552494,Low
0.021525362149629194,Low
0.019806659459155055,Low
0.17646623933771297,Low
0.045016447165694716,Low
0.05027103780556923,Low
0.05917700461453582,Low
0.012635250719134607,Low
0.08768965116189288,Low
0.011040077373569476,Low
0.018363405270420654,Low
0.01408079917014391,Low
0.025158398569720068,Low
0.009017504113548161,Low
0.015023848957500972,Low
0.0500300216685279,Low
0.02575860746453967,Low
0.26961088660488786,Low
0.014926374007885997,Low
0.015097609781466183,Low
0.09582378790987024,Low
0.02169745914666285,Low
0.2345242876908005,Low
0.03313288178848779,Low
0.025044109042460152,Low
0.017785265391349413,Low
0.012369732022689746,Low
0.07113665447734165,Low
0.04029655989942113,Low
0.01913710131605057,Low
